Receiver_Name,Avg_Quantity
Mr. William Hunt,43
Debra Murray,30
Jean Woods,47
Ashley Bell,4
Charles Morris,29
Jacob Horton,26
Eric Ramos,26
Jennifer Schmidt,37
Mary Franklin,29
John Murray,6
Miss Mary Turner,16
Alan Campbell,6
Christine Davis,20
Justin Lee,28
Deanna Daniels,31
Anthony Garcia,32
Jane Davis,33
Randy Martinez,40
Eric Mays,22
Chelsea Powell,34
Joanna Wilkins,31
Beth Phillips,14
Margaret Mccullough,13
James Lewis,4
Katherine Gomez,15
Elizabeth Lewis,4
Terry Fernandez,31
Donna Chang,22
Matthew Sanchez,3
Karen Reeves MD,7
Scott Hunter,31
Kimberly Wilkins,10
Maria Singh,35
Anne Stone,19
Mrs. Valerie Hartman,19
Aimee Stone,28
Cynthia Horton,12
Alex Leon,14
Charles Davidson,25
Whitney Evans,17
Gary Andrews,14
Amy Barker,41
Kelsey Smith,41
Jacqueline Turner,28
Jennifer Johnson,34
Miss Jamie Gonzalez DDS,23
Heather Brown,17
April Miller,19
Charles Martin,9
Nicholas Smith,9
Victor Diaz,33
Micheal Peterson,39
Anna Buckley,35
Brenda Green,38
Leslie Acevedo,40
Jodi Lee,25
Donald Moore,6
Jasmine Robertson,41
Kristine Martin,29
Kristina Simpson,31
Kimberly Duncan,6
Daniel Moore,35
Arthur Thomas,26
Brian Cowan,47
Maria Jacobs,27
Aaron Scott,45
Kellie Hart,11
Mr. Robert Rivera II,11
Kristen Foster,31
Edward Cook,39
Joshua Hooper,1
Kimberly Wilson,23
Brian Gonzales,26
Steven Armstrong,32
Kelly Howe,44
Matthew Wright,32
Kayla Johnson,30
Trevor Wilson,25
Jason Taylor,22
David Kennedy,22
Dr. Wendy Terrell,9
Taylor Estrada,11
Teresa Jackson,26
Joseph Smith,42
Rhonda King,22
Karen Cruz,37
Vanessa Johnson,19
James Kennedy,35
Courtney Whitney,16
Adam Browning,5
Sylvia Stanley,44
Daniel Burton,38
Justin Anderson,26
David Spence,27
Brittany Taylor,35
Brian Hardy,35
Ronald Norton,20
Pamela Scott,22
Amanda Cain,26
Alexandra Rogers,30
Allison Bray,23
Mary Escobar,22
John Harris,18
Jose Cooper,7
Donald Caldwell,44
Cassandra Yoder,49
Ernest Cox,13
Walter Myers,15
Mark Miller,16
Janet Newton,18
Steven Shaffer,8
Alexis Rodriguez,8
Douglas Baxter,21
Bruce Alexander,18
Randall Robbins,31
Angela Wyatt,49
Robert Moses,30
Trevor Lam,21
Drew Cline,27
James Hernandez II,39
Brian Davis,20
Sarah Carter,29
Amy Perez,33
Cody Gardner,16
Jason Moore,36
Alicia Porter,19
Laura Robertson,38
Carl Brewer,33
Christine Bell,25
Andrea Meyer,24
Thomas Sanchez,29
Lisa Pitts,50
Ashley Silva,12
Shawn Gibson,24
Michael Keller,46
Derek Potter,33
Kim Gamble,20
James Castaneda,14
Melissa Lee,37
Timothy Garrett,27
Jonathan Young,22
Ricky Walker,37
Natasha Harper,32
Mrs. Emily Smith DVM,32
Robert Burke,24
Abigail Crawford,26
Rachel Arnold,45
Jamie Ferguson,45
Shannon Pineda,16
Becky Hernandez,22
Danny Brown,17
Margaret Lloyd,8
Stacy Mayo,25
Andrea Morris,33
Ashley Clark,45
Meredith Griffin,23
Alex Rogers,23
Steve Kirby,26
Matthew Webb,38
William Barnes,47
Allison Pennington,31
Alexandra Owens,20
Mary Evans,35
Donna Hughes,33
Brandon Rice,21
Melissa Mclaughlin,38
Caitlin Cobb,17
Shannon Jensen,5
Mrs. Stacey Morales MD,19
Kristopher Mendoza,28
Joseph Johnson,25
Dennis Schultz,18
Mary Lewis,22
Tammy Smith,39
Sharon Martin,31
Alvin Day Jr.,21
Samuel Hodge,16
Cindy Green PhD,17
Ricky Harmon,17
Joseph Knapp,8
Kerry Jones,13
Mary Wilson,38
Nicholas Harrison,28
Samuel Mendez,42
Jasmine Miranda,42
Mrs. Kristin Adams DDS,20
Jo Martinez,17
Bobby Perry,17
Laura Leach,37
Bridget Hill,9
Lisa Kim,14
Shelly Castillo,6
Eileen Scott,28
John Martin,28
Robert Abbott,41
Andrew Gray,42
