Receiver_Name,Number_of_Claims
Derek Potter,3
Timothy Garrett,3
Alexandra Owens,3
Donald Gomez,2
Mandy Sutton PhD,2
Alvin West,2
Trevor Wilson,2
Kayla Johnson,2
Paul Evans,2
Nicole Walker,2
Mrs. Paula Jones,2
Donna Williams,2
Kristina Vargas,2
Mrs. Stacey Morales MD,2
Kimberly Nelson,2
Debra Murray,2
Arthur Thomas,2
Dr. Matthew Hughes DDS,2
Miss Mary Turner,2
Susan Green,2
Christine Bell,2
Jane Davis,2
Alexander Walsh,2
Steven Griffin,2
Justin Powell,2
Andrea Meyer,2
Ronald Norton,2
Lydia Phillips,2
Terry Fernandez,2
Bruce Alexander,2
Peter Gonzalez,2
Renee Campbell,2
Benjamin Soto,2
David Spence,2
Matthew Webb,2
Vanessa Johnson,2
Jason Taylor,2
Robert Kim,2
James Miller,2
Glenn Anthony,2
Kyle Johnson,2
Kristopher Mendoza,2
Ann Odonnell,2
Kenneth Baker,1
Emily Turner,1
Mary Salazar,1
Donald Kelly,1
Johnny Page,1
Mary Franklin,1
Audrey Perez,1
Anita Kerr,1
Maria Jacobs,1
Bobby Perry,1
Andrew Lawson,1
Taylor Dean,1
Brian Gonzales,1
Cheryl Dillon,1
David Turner,1
Charles Davidson,1
Eric Ryan DDS,1
Timothy Patel DVM,1
Nathan May,1
Nancy Silva,1
Daniel Burton,1
Karen Cruz,1
Victor Reyes,1
Rachel Nguyen,1
Brady Lopez,1
Jonathan Young,1
Marie Andrade,1
Heather Brown,1
Sarah Carter,1
Katherine Gomez,1
Christina Potter,1
David Hull,1
Nathan Willis,1
Lisa Eaton,1
Aaron Scott,1
Suzanne Velasquez,1
Michelle Cook,1
Shannon Pineda,1
Stephen Smith,1
Rhonda King,1
John Martin,1
Ashley Rivers,1
Judy Griffith,1
Ronald Gonzalez,1
Kelly Barber,1
Morgan Massey,1
Corey Lamb,1
Cassandra Mendoza,1
Rebecca Goodman,1
David Henderson,1
Samuel Hodge,1
Joanna Wilkins,1
Lindsay Garcia,1
Ronald Miller,1
Matthew Pearson,1
Kristi Wagner,1
Aimee Stone,1
Randall Robbins,1
Walter Carter,1
Scott Hunter,1
Mrs. Kristin Adams DDS,1
Mrs. Emily Smith DVM,1
Randy Roach,1
Cynthia Horton,1
Joseph Williams,1
Deanna Daniels,1
Michael Curtis,1
Kristina Simpson,1
Daniel Moore,1
Robin Pena,1
Gary Adams,1
Carmen Barker,1
Kristine Martin,1
Carlos Lawrence,1
Christine Patterson,1
Kimberly Hamilton,1
Jennifer Schmidt,1
Dustin Johnson,1
Anna Buckley,1
Sylvia Stanley,1
Kerry Jones,1
Brian Hoffman,1
Ricardo Roberts,1
Seth Esparza,1
Melissa Smith,1
John Reeves,1
Tara Graham,1
Patricia Stevens,1
William Barnes,1
Kelly Buchanan,1
Victor Crawford,1
Kyle Kerr,1
Allison Martinez,1
Alex White,1
Jennifer Hughes,1
John Byrd,1
Matthew Simmons PhD,1
Dennis Schultz,1
Ernest Cox,1
Justin Santos,1
Teresa Jackson,1
Pamela Harris,1
Jacqueline Turner,1
Natasha Harper,1
Nicholas Harrison,1
Mrs. Valerie Hartman,1
Tina Banks,1
Michael Vargas,1
Karen Stafford,1
Timothy Martin,1
Nathan Gonzales,1
Jorge Young,1
Karen Reeves MD,1
Michael Roberson,1
Micheal Peterson,1
Erin Foster,1
Julie Lewis,1
Chelsea Powell,1
Timothy Chavez,1
Miss Jamie Gonzalez DDS,1
Ricky Harmon,1
Richard Patterson,1
Eileen Scott,1
Destiny Maldonado,1
Kimberly Wilson,1
Michael Dixon,1
Brian Morales,1
Amy Perez,1
David Sellers DVM,1
Margaret Lloyd,1
Amy Brown,1
Savannah Neal,1
Brenda Green,1
Matthew Wright,1
Meagan Hughes,1
Gary Andrews,1
Scott Proctor,1
Margaret Mccullough,1
Mary Lewis,1
Samantha Salinas,1
Matthew Mendez,1
Andrea Morris,1
Brian Blankenship,1
Michael Lewis,1
Danny Randolph,1
Anthony Cochran,1
Diana Blair,1
Mr. William Hunt,1
Justin Lopez,1
Mark Lewis,1
Amy Barker,1
Natalie Navarro,1
Oscar Bauer,1
Jimmy Morton,1
Meredith Griffin,1
Rachel Carson,1
Taylor Estrada,1
Alvin Day Jr.,1
Paul Lee,1
Christine Davis,1
Nicholas Peterson,1
Meredith Hull,1
Cindy Green PhD,1
